,p1GameName,p1Tagline,p2GameName,p2Tagline,winrate
2859,진짜개열심히함,KR1,동후야,KR1,47.05882352941176
2860,돌려찾기,KR1,탑에겐 존댓말,KR1,27.27272727272727
2861,돌려찾기,KR1,콜라베어볼리베어,양뚜뚜,54.54545454545454
2862,민규야 이겨줘,KR1,임중석,KR1,44.44444444444444
2863,원조사시 이지훈,KR1,넌구제불능이야,KR1,41.66666666666667
2864,훈 룽,KR1,시신경절단기,KR1,48.148148148148145
2865,서폿무시하지멓,KR1,뭉쭈요,KR2,60.0
2866,사랑의 녹턴,KR1,THE ZD,KRI,60.0
2867,짭 프제,KR1,한애교,KR1,66.66666666666666
2868,힝혜지그런거몰랑,KR1,맛있우면 또먹지,KR1,21.052631578947366
2869,wvwvwwvv,KR1,크앙 뚜넌,KR1,53.84615384615385
2870,wvwvwwvv,KR1,엄갱균,KR1,70.0
2871,뭐야이게임,KR1,냥아치,1101,84.21052631578947
2872,뭐야이게임,KR1,고 요,0318,90.0
2873,파 도,U S,Kennedy,KR1,61.53846153846154
2874,시방창랍2,KR1,먹방유튜버김미진,2900,37.5
2875,Waltz,Evans,감다살,0000,36.36363636363637
2876,응급실새치기전문,KR1,지요츄,0000,94.44444444444444
2877,춘천박진솔,KR1,9rum,KR3,30.76923076923077
2878,바람의나라,kr2,쥐새끼,검거반,53.84615384615385
2879,밍밍한 귤은 뮬,КR1,LEE SIN KING,KR 1,64.28571428571429
2880,엄준식,KR555,io00oi,0306,10.0
2881,사 일,225,부캐로도망침,KR1,53.84615384615385
2882,PaStella,파스텔,바다노래 세라핀,KR1,21.428571428571427
2883,JustLik ThatKR,J G,365일종이비행기,KR1,54.54545454545454
2884,우리정글머함,정글차이,청양고추푸딩,KR1,65.0
2885,우리정글머함,정글차이,김한나,foxy,80.0
2886,누0누0누0누,KR1,김지원입니돠,KR1,47.368421052631575
2887,김혁규,KR11,따봉다니야고마워,KR1,64.70588235294117
2888,qzkdf,KR1,킬먹어라,KR1,53.84615384615385
2889,박박준준호호,KR1,가 경,KR1,63.1578947368421
2890,무리뉴,무버지,미스터짐,KR1,65.21739130434783
2891,이걸론부족해,KR1,보영사랑,KR1,69.23076923076923
2892,사과가 되지말고 도마도가 되라,좋은 글귀,Swopper,Chovy,53.84615384615385
2893,사과가 되지말고 도마도가 되라,좋은 글귀,펜타킬 냠냠,KR1,30.76923076923077
2894,16글자로닉네임을만들기어려워요,0000,어쩔티비맞짱뜰래,KR1,54.54545454545454
2895,하 니,뉴진스1,성쭈이,KR1,33.33333333333333
2896,하 니,뉴진스1,이시가미센쿠,KR1,80.0
2897,그것이당신의행복이라할지라도,KR1,오 리,애 용,72.22222222222221
2898,뚱 이,8660,Erilia,KR113,53.333333333333336
2899,교자클라스,KR1,주녕짱짱123,KR1,50.0
2900,교자클라스,KR1,스웨인,페이커맞밸,70.0
2901,호로록,kr4,되는닉네임머임,KR1,64.70588235294117
2902,인텔퀄컴암드애플,KR1,프렐요드서리방패,KR1,61.111111111111114
2903,반고흐4세,KR1,상은이,KR1,70.58823529411765
2904,심심하다아아아,KR1,순둥2,KR2,54.54545454545454
2905,미드핑안찍는사람,KR1,일형 벽력일섬,KR1,53.333333333333336
2906,굉장히화가난상태,KR1,제레미 도구,KR 1,68.75
2907,Sunklst,KR1,롤체로마스터감,KR1,55.55555555555556
2908,90141382del,KR1,결정적실수,KR1,60.0
2909,신채로이,0918,쥐순이람희,KR1,43.333333333333336
2910,뇌지컬 원툴,1117,Radiohead,124,41.66666666666667
2911,다드림바베큐치킨,KR1,고굼냥,OoO,50.0
2912,겜 쉽게 이기는법,KR1,딜말고도잘넣어요,へーん,68.18181818181817
2913,자윤주,KR2,연제훈,연제훈,60.0
2914,MDNbbogle,KR1,Scan000,KR1,40.0
2915,챠 랑,KR1,궁극기를 아끼면 안돼,KOR,55.55555555555556
2916,노트북으로정글연습하는계정,트롤아님,이즈리얼,5884,33.33333333333333
2917,노트북으로정글연습하는계정,트롤아님,미 드,과기대,63.63636363636363
2918,most one leblanc,KR1,다이어트 시작함,KR1,55.00000000000001
2919,원딜하는 멸치,KR1,다 솜,2000,70.0
2920,백정97,KR1,차가운사람,kr11,41.17647058823529
2921,마지막 부계정,last,정말사연이있어,KR1,46.15384615384615
2922,효 석,KR1,제라스잘하는사람,KR1,46.666666666666664
2923,김남길,8981,완정역 키즈,1234,56.25
2924,김남길,8981,yoopia,KR1,40.0
2925,바위마을의매생이,KR1,권한녀,KR1,70.83333333333334
2926,Teemother,KR1,탑안오면그냥미드에쳐박아버림,KR132,70.83333333333334
2927,제주유흥문의,주대20,연동9길38,이찌니,67.85714285714286
2928,탑하는규훈이,3666,남긴음식,KR1,46.15384615384615
2929,부타동먹고부타가된이재범,19874,0l현우,KR1,36.36363636363637
2930,트롤플레이어,KR1,녹 차,1095,61.53846153846154
2931,싸없새야,KR1,실내사정,해줄까,45.83333333333333
2932,스이긴토,KR2,차단하고캐리함,KR1,43.47826086956522
2933,소명문명,KR1,므히히히,KR1,53.333333333333336
2934,gamgyul,kr333,유토피아YC,KR1,33.33333333333333
2935,Snow Step,1234,다이아에갈사람,KR1,37.93103448275862
2936,발꾸락요정,KR1,다리가아파영,KR1,27.27272727272727
2937,워 익 이 다,KR1,무선반장,KR1,50.0
2938,Nerd Stupid,KR1,무쇠빠따복현진,kr2,45.45454545454545
2939,더 월드 오버헤븐,KR1,하츠라츠,KR1,50.0
2940,술 한 모금,KR1,역대급 천재 탑,KR1,40.0
2941,민규 심,KR1,고양이상얘쁜누나,KR1,50.0
2942,선화야색깔이어떻게울퉁불퉁하냐,울긋불긋,내무습다,KR1,68.75
2943,정글액,KR1,다홍이,KR1,70.0
2944,정글액,KR1,어떤 이의 꿈,KR12,70.0
2945,AKMID,KR1,쏘환사,KR1,53.333333333333336
2946,김은하,0126,Dvil,KR1,64.28571428571429
2947,xnoparasitisme,KR1,정글메뚜기,KR1,35.0
2948,OMEGA시티,KR1,목동토박이,KR1,66.66666666666666
2949,김준정,KR1,로밍 가지마,KR1,61.53846153846154
2950,야줌싸개,KR1,낭만파천태식,YSD,57.692307692307686
2951,아름다운아띠,KR1,곰세마리한집에,KR1,76.92307692307693
2952,나현공주,바보바보,조선제일총검,야스오원챔,66.66666666666666
2953,bami,0302,엿드세요,7895,66.66666666666666
2954,어떻게이게게임,KR1,Raina Esprit,KR1,46.15384615384615
2955,김D현,D의 의지,마 니,마 니,44.44444444444444
2956,핑핑이,핑핑이다,여기와드해줘,KR1,43.333333333333336
2957,김정밈,KR1,벌레팀운,KR1,81.81818181818183
2958,티므싱,KR1,시바이누,1111,43.333333333333336
2959,라두야 놀자,KR1,체뿡둥이,KR1,63.33333333333333
2960,마지막 로그아웃,한판만할까,죠지키우기,KR1,48.275862068965516
2961,도지마의 용,배그만탈거,구미불기둥,KR1,54.54545454545454
2962,후라이치퀸,KR1,아리스토탈났으,KR1,71.42857142857143
2963,바다꽃입,KR1,시가 현실적이면,시리얼,56.25
2964,CJ CornFrost,KR1,IKnowWhat U Want,KR0,40.0
2965,zl존무적성호,KR1,빈티지원딜,KR1,66.66666666666666
2966,abhorret,KR1,슈발섀기,KR1,58.82352941176471
2967,abhorret,KR1,우산초빵셔틀,KR1,41.66666666666667
2968,여응차아,KR1,연승하고싶어요,제발요,53.333333333333336
2969,오딱석,오딱석,차카타파,KR1,36.36363636363637
2970,파워 슬램,부 캐,giny216,giny2,59.09090909090909
2971,판수생배,KR2,02년생아칼리장인,KR1,57.14285714285714
2972,희끄희끄,KR1,블루나,2199,50.0
2973,아이묭티케팅실패한사람되팔이엄마,다죽어라,WWVWWWWVWWVWWVWW,KR1,40.0
2974,순식간에 현지 적응,팀운도실력,2593409391953184,KR1,93.33333333333333
2975,H2DE,8207,둔탁한 한방 딱대,KR1,60.0
2976,아 윤,0224,동덕여대 화이또,KR2,60.0
2977,괴물성현,KR1,토일월화수목금자,KOR,69.56521739130434
2978,성원의하루,KR1,スフ大O,从人巨大,50.0
2979,UNKNOWN,PB20,暢 揆,李 家,45.45454545454545
2980,작 콩,땅 콩,땅 콩,작 콩,44.827586206896555
2981,오용준용,KR1,별이주인,KR1,50.0
2982,이도류7088,KR1,01038280241,맞짱전화고,53.84615384615385
2983,AD연습전용,KR1,최   영   건,SNS,75.0
2984,인간콘돔김찬호,KR1,유현이,KR1,60.0
2985,고난과역경이가득,KR1,청 명,화산검협,30.0
2986,중앙초두목,KR1,기 슥,KR1,71.42857142857143
2987,물초롱,KR1,mulchorong,KR1,63.1578947368421
2988,물초롱,KR1,니코가니코속으로,KR1,30.0
2989,최초원딜안중근,대한독립,자 스 민 탕,KR1,62.5
2990,모지혜사랑꾼,황태규,손승현,0404,50.0
2991,채댕이,KR12,volkswagen,289,37.5
2992,안대쓰고자면안대,KR1,MonsTre,괴 물,61.53846153846154
2993,벽 느낄 때까지,KR1,암흑대군주,KR1,30.0
2994,그저평범한닉네임,KR1,제주납읍리감귤,KR1,55.55555555555556
2995,기무퍽춘,KR1,항공대 조춘식,KR1,55.55555555555556
2996,너희어머,CC기,알프레드 아들러,7777,41.17647058823529
2997,twin1,KR1,twin2,KR1,76.47058823529412
2998,구라링,KR1,칸쥐순,КR1,51.724137931034484
2999,망곰이,bear1,터지지좀마봐,KR1,61.111111111111114
3000,끄어어엄,KR1,글러먹은인간,KR1,61.53846153846154
3001,장관빌라,KR1,너희집에 모히또,KR1,66.66666666666666
3002,제라스뿅뿅,KR1,벨코즈뿅뿅,KR1,55.55555555555556
3003,라이꾸2,KR1,그럴려고 그런게,KR1,50.0
3004,떠뽀끼,맛있엉,2727423433147520,KR1,35.0
3005,박보영,1838,북조선인민로동당,KR1,35.714285714285715
3006,토마토에전기충격을주는기계,KR2,인생이모르겠다,KR1,68.42105263157895
3007,1분대상병권준하,KR2,김깽한,KR1,40.0
3008,sbbbbbbb,KR1,윈 터,6872,57.692307692307686
3009,무적해병기욱박,KR1,옆집할매폐지뺏기,KR1,40.0
3010,용성아름,KR1,Xiao zhiouu zang,KR1,70.0
3011,대전 박격포,KR1,한방에보내는남자,KR1,60.0
3012,대전 박격포,KR1,Steel Shadow,KR2,60.0
3013,Lv 1 최은찬,KR1,GEN canyon,KR 11,64.28571428571429
3014,너의최애가돼주마,KR1,언어장애핑구,KR1,64.28571428571429
3015,O0O0O0O00000O0O0,KR1,Angry seong,KR1,54.166666666666664
3016,자객의발톱사이온,KR1,신명철,KR1,40.0
3017,빵빵이,6220,아레나,모루장인,58.333333333333336
3018,빵빵이,6220,네이버,earsd,41.66666666666667
3019,개가튼내일,KR1,엿가튼내일,KR1,56.666666666666664
3020,돼 지,7777,한번만봐주세요,PLZ,52.94117647058824
3021,초코집과자,자과집코초,1RAOE,KR1,64.70588235294117
3022,너일루왕이새킹,0617,ObliviateO,KR1,58.620689655172406
3023,저도찾지마세요,KR2,dlsjkdisudwn,KR1,53.84615384615385
3024,영슈야,0502,몽토야,0502,64.28571428571429
3025,현지인이다살살해,KR1,수튜브구독자,KR1,53.84615384615385
3026,현지인이다살살해,KR1,무야 볼리베스,2352,40.0
3027,고양이키울래여,KR1,정글이왕이다,KING,50.0
3028,바위게그라탕,KR1,Aurora Reflex,무지개반사,46.666666666666664
3029,쑤미마셍,KR1,코딩의노예개발자,KR1,40.909090909090914
3030,뱀 탕,KR1,つoωoつ,愛してる,50.0
3031,메가트리움,KR1,박대춘,KR1,63.63636363636363
3032,으니우니,KR1,당뇨고혈압문신충,123,47.05882352941176
3033,솔랭 키아나,KR1,깡규얌,KR1,73.33333333333333
3034,RPG배틀짱,KR1,와플곰돌이,KR1,46.666666666666664
3035,맥도널드알바생,KR1,중요한순간딱한번,KR1,87.5
3036,홍민찬,0828,Protoss,KR11,69.23076923076923
3037,마오니대장,KR1,USINGKING,KR2,52.94117647058824
3038,삼겹살에 소주 한잔 먹고싶다,참이슬,Shieda Kayn,0112,50.0
3039,민수의왕자근,KR1,제가 지켜볼게용,KR1,66.66666666666666
3040,5ushi,KR1,THE블루스,KR1,57.14285714285714
3041,화나면울려요,KR1,초코와퍼,KR1,66.66666666666666
3042,늑대파대대장,KR1,이기는법을까먹음,못이길듯,41.66666666666667
3043,소환사0831,KR1,미쯔냠냠냠,KR1,71.42857142857143
3044,wakuwaku,oui,DOEUIZZANG,요로시쿠넹,50.0
3045,이게정성엽,KR2,최형우홈런,KR1,57.14285714285714
3046,못 이겨도 좋아요,KR1,가난한용사는오늘도히어로를꿈꾼다,030,50.0
3047,미스터하딘,KR1,Lutara,KR1,30.76923076923077
3048,Suvita,KR1,good5768,5942,60.0
3049,돈언제갚니,KR1,Zed,a3338,45.45454545454545
3050,Lions,blue,여유로운삶,KR2,40.0
3051,김세딕,KR1,FATE,KR22,57.14285714285714
3052,곽튜브,곽곽디라라,FIash Mochi,7942,60.0
3053,곽튜브,곽곽디라라,집에만있구싶다,KR1,60.0
3054,겨 울,0524,하츄핑,KR05,50.0
3055,귤 머 금,KR1,우주최강박솔,박 솔,61.53846153846154
3056,귤 머 금,KR1,미움받을 용기,1470,90.0
3057,져니몽,KR1,탈모문돼요실금환자 서성빈,KR3,57.14285714285714
3058,다패죽인다,십련들,Powder,JXNG,45.45454545454545
3059,열심히한다구요,KR1,기숙사 마피아,KR1,44.44444444444444
3060,김차뉘,KR1,범죄자인사람,KR1,60.0
3061,호롤롤로욜로,KR1,오늘살이,today,70.0
3062,영등포피바다,KR1,GET1,KR1,54.54545454545454
3063,싸이비 교주,KR1,하아리,KR1,50.0
3064,까꿍 ,발로란트,노망치,KR1,66.66666666666666
3065,포 위드 썬,KR1,다시한번처음처럼,KR1,41.66666666666667
3066,Aileri,정 품,채팅못보는사람,KR1,40.0
3067,아 수 라,1111,믿어요 정글러,KR1,47.05882352941176
3068,첼로신발주머니,KR1,메 르,KR1,60.0
3069,Center Forward,KJS,1티어 쉔서폿,KR1,41.66666666666667
3070,Center Forward,KJS,소호동데브라위너,KR1,60.0
3071,배뱁티,KR1,윤 씹 섭,KR1,70.0
3072,한자보,KR1,장인은도구탓한다,KR1,54.54545454545454
3073,한자보,KR1,톳트넘명예소방관,KR1,63.63636363636363
3074,피크닉민초맛,KR1,누가 막을건데,KR2,80.0
3075,Db다이너마이트,KR1,1학년8반체육부장,KR1,75.0
3076,귀찮을때짓는이름,KR1,멀고먼꿈,KR123,57.692307692307686
3077,샥샥푸슉,KR1,도망가는라쿤가족,1111,45.83333333333333
3078,IIIIII,lIllI,P0P0,KR1,90.0
3079,응애 나 태워줘,KR1,Ucalyptus,KOR,57.14285714285714
3080,요 한,2001,다이예나,형냐들,75.0
3081,Húndàn hánguó ré,CN1,공격횟수,KR1,50.0
3082,싹바가지,1111,비타헬스수건도둑,KR1,51.85185185185185
3083,섹시한 스테이크,8877,창 조,3949,53.333333333333336
3084,나는준비됐지,KR1,허성재따먹기,KR1,54.54545454545454
3085,사카밤바스피스,KRI,박다원존1나꼬집기,8691,65.0
3086,요구르트보이,0305,펄스 걸 게이틀린,KR1,33.33333333333333
3087,강 우 진,5453,강우진 사랑해요,KR1,70.0
3088,재밌는거할래,Tarzo,사이코,4685,80.0
3089,크리스티아누 임채민,siuu,Gaйg,KR1,54.54545454545454
3090,ym2003,KR1,1010,0723,50.0
3091,ym2003,KR1,명예5레벨도전한다,KR00,70.0
3092,강한여성상,KR1,1단카정을가,1010,60.0
3093,허니즈유지,zyuzi,쥐 후,KR1,66.66666666666666
3094,허니즈유지,zyuzi,용용이즈유지,zyuzi,66.66666666666666
3095,네모건달스폰지밥,KR1,뾰족머리삼도리,KR1,64.28571428571429
3096,네모건달스폰지밥,KR1,유지혁,유지혁,70.0
3097,두락두,RAKDU,22영,KR2,55.00000000000001
3098,노벨고혈상,스프링랄러,딸기맛 소농민,KR7,47.82608695652174
3099,Excusez moi,Adieu,ZCXF,KR1,56.00000000000001
3100,배고파요밥사줘,KR1,샤와프후,KR1,50.0
3101,그래서뭐어쩔건D,KR1,MANIAC,SSS,53.84615384615385
3102,그래서뭐어쩔건D,KR1,장군의 길,KR1,63.63636363636363
3103,메숭이,jh94,막기장인,KR1,36.36363636363637
3104,착하게살자니까,KR1,짜릿하게 해줘,KR1,40.0
3105,꽃처럼 아름답게,KR1,,,90.9090909090909
3106,김우G,KR1,밍 키,016,63.63636363636363
3107,은둔쌉고수,KR1,겟앰프드,KR 1,60.0
3108,세쿠시 남,VV1,코스모스,S10,54.54545454545454
3109,그거슨 모슨,KR1,도구수준,KR1,60.0
3110,모 밋,KR2,MiniM,kr99,75.0
3111,ヲ ヲ ヲ ヲ,KKKKK,내가 더 잘할게,KR30,61.904761904761905
3112,허허그럴수있지요,참을인,명문도가,도센세,74.07407407407408
3113,김국연,KR1,moonlight,W900,54.54545454545454
3114,Innocent fun,KR1,퓨즈다 도망쳐,KR1,63.1578947368421
3115,Innocent fun,KR1,Moon wol,KR1,36.36363636363637
3116,보라색맛나쏘,0000,15 gg open no,KR1,58.333333333333336
3117,지 늉,KR1,혜찬들,KR1,92.3076923076923
3118,지 늉,KR1,내머리로딩중임,KR1,25.0
3119,아응애에요,KR2,와드 아껴 집사기,KR1,70.0
3120,송기쁨,happy,못멍개,KR1,57.14285714285714
3121,kikiboy,KR1,강 깍,KR1,35.714285714285715
3122,kikiboy,KR1,비연질풍용신각,아아아,50.0
3123,태 환,KR태환,차민엽,KR1,60.0
3124,아가 포로,KR1,사 콩,KR1,72.41379310344827
3125,RS1999,KR1,벚꽃동화,KR1,83.33333333333334
3126,야속한 박스,KR1,야속한 팀원,KR1,61.904761904761905
3127,김인규02,맹맹맹,아이돈캐어,KR1,58.333333333333336
3128,아구바구,kr3,RaPi,SUP,80.0
3129,TKZ01,KR1,홍정섭,1231,53.333333333333336
3130,minqi,KR2,면뭔모,KR1,82.35294117647058
3131,hanuleric,KR1,cheche,KR1,61.53846153846154
3132,명띵교,KR1,I크로니D,KR1,57.14285714285714
3133,ThanksgivingDay,LG1,페이커식 전령 박치기,dino,80.0
3134,네오미아,kr2,뽀송연우,kr3,58.82352941176471
3135,A GOOD PLAYER,KR1,favorite winter ,KR1,46.666666666666664
3136,조산희,KR1,핀 겸,KR1,63.63636363636363
3137,창혁박,KR2,왜노력을아끼는가,KR1,70.0
3138,텐타시온,KR1,블루잭8,KR1,62.5
3139,나르조아119,KR1,파이크 인생,KR1,38.46153846153847
3140,내 지금 개빡칫다,KR1,믿기싫음믿지마걍,123,73.91304347826086
3141,석남동 쌍칼,KR1,스몰더 킹,펄럭펄럭,56.666666666666664
3142,꼬북칩사져,KR1,레 이,귀여워,63.33333333333333
3143,시크릿쥬쥬,9999,빅 맘,룰루해적단,63.33333333333333
3144,키 컸,KR1,선 린,KR1,50.0
3145,KATA FR,KR1,루시안,KR200,66.66666666666666
3146,KATA FR,KR1,신난다,skrrr,58.333333333333336
3147,낭 만,hys,YEEEEAAAAHHH,KR1,71.42857142857143
3148,大丈夫dingdingding,ding,구룡포임중사,KR1,92.0
3149,전인석,1999,소원아 정말 사랑해,0215,50.0
3150,고 수,KOR,급 으,KR1,51.85185185185185
3151,WakeupFi1thy,1106,칼과 방 창패,KR1,75.0
3152,WakeupFi1thy,1106,Jocelyn FIores,KR1,58.333333333333336
3153,탑가는사람,KR2,뚱땡지,태 성,65.0
3154,4차원 주머니,도라에몽,정 글 러,잘하는사람,45.45454545454545
3155,젠 장,KR2,술 마실 나이,KR1,58.82352941176471
3156,나희공주나희,KR2,포 포,소 연,56.52173913043478
3157,정글럽,KR1,폭싹 늙었수다,KR31,53.84615384615385
3158,정글럽,KR1,즉당히하소잉,KR1,54.54545454545454
3159,부주입니다,KR1,1220sjy,KR1,58.333333333333336
3160,마뭘쎄리보노,KR123,마인박는 벌쳐,KR1,46.666666666666664
3161,망나니전문,KR1,ヲヲヲヲヲヲヲ,KR12,50.0
3162,단단묵직,gmo,cous,KR1,64.28571428571429
3163,min3,min,연 필,KR7,46.15384615384615
3164,무서운밥,KR1,죽 섬,KR1,53.84615384615385
3165,사람아니면차단함,KR2,Beogi,KR1,50.0
3166,사람아니면차단함,KR2,예측완료,KR1,33.33333333333333
3167,고냥 좀 합시다,KR1,둠피슷으,KR1,60.0
3168,잼여우,KR2,깨꾹이,Post,59.09090909090909
3169,코끼리같은나,KR1,제페토 할아버지,피노키오,33.33333333333333
3170,큰 돌,KOREA,낭만베인,BR2,57.89473684210527
3171,리자몽,ZIU,우라하라 키스케,KR2,27.27272727272727
3172,쫑 운,KR1,최량이,KR1,58.333333333333336
3173,김범균,KR1,혜진2짱,KR1,66.66666666666666
3174,초보원딜,chobo,오른왼손도오른손,4906,63.63636363636363
3175,허준필,KR1,탐켄충,KR1,58.333333333333336
3176,틀딱정글,KR55,곱게 미친 사람,KR1,40.0
3177,드론부터들어가자제발,급발진멈춰,정수호,KR2,34.78260869565217
3178,피자찐빵,1104,와삭바만먹는이상준,111,57.89473684210527
3179,桜島麻衣,青春豚,beenj2004,rlawn,20.0
3180,자아가강한사람,KR2,천재정윤,인 히,60.0
3181,진로검사,KR1,뚱씨땡씨,KOR,71.42857142857143
3182,몰왕마최작쇼,KR1,진라면 매운맛 아,KR1,50.0
3183,빡 쭈,221,문어한테짐,KR1,40.0
3184,돈없고귀찮은백수,12345,IIIlllIIllIILlII,542,44.44444444444444
3185,Black,k0917,멘탈건들노노,KR1,63.63636363636363
3186,QWER,0806,co24,KR3,66.66666666666666
3187,zzcxc,KR1,XUUU,KR1,31.57894736842105
3188,장 너,KR2,땅다먹구,KR1,63.63636363636363
3189,현 꽃 민,KR1,탑선수,KR1,50.0
3190,Typhoon,태 풍,하나님은없다,KR1,41.17647058823529
3191,윤의준,KR1,이경한의제리타임,KR1,55.55555555555556
3192,멋이벤뚝배기,KR1,듕웅웡,ΚR1,60.86956521739131
3193,묘 식,KR1,Airplane Mode,7671,55.55555555555556
3194,날꺾이게만들지마,KR1,붕붐붐붕붐붕붕붐,KR1,37.5
3195,우기보이야,KR1,Doran,KR6,66.66666666666666
3196,골이따분,123,하위 게,123,73.33333333333333
3197,안녕수야,사랑해,쳐다보지마,KR0,50.0
3198,와꾸대장평준,KR1,재아야사랑해,KR1,63.33333333333333
3199,봉골레노틸러스,KR1,까르보나라사미라,KR1,55.55555555555556
3200,무 찬,KR2,Dooohe,KR1,20.0
3201,양덕동 부모폭격기,어망구박살,나 재용이,Wodyd,25.0
3202,적당히 빨 감,KR1,안녕승훈,KR1,28.57142857142857
3203,적당히 빨 감,KR1,늘E전용,kr99,70.0
3204,나주미의 긍지,KR1,이크에크박크,KR1,57.14285714285714
3205,민카르도,7013,Ravensong,송휘진,52.17391304347826
3206,모든길은나로통해,KR1,하얘지고싶다,KR1,45.45454545454545
3207,모 기,모비딕,똥 침,맵 핵,87.5
3208,면세담배,던힐6ml,나는벌레,다르다,64.28571428571429
3209,빵댕이,2909,재팡FC,KR1,68.75
3210,전나게 잘하네요,KR1,내가 누군지 왜 궁금해,KR100,50.0
3211,오르트 구름마,KR1,hide on mcheol,KR2,71.42857142857143
3212,bluelemonade,lemon,김루시,lucy0,55.55555555555556
3213,bluelemonade,lemon,구름치는파도,KR1,60.0
3214,검꼭지,KR1,AK55,KR1,58.620689655172406
3215,King Haeibo,KR1,택입니다,0000,80.0
3216,제발이겨줘요,1204,이민혁,이민혁,50.0
3217,롤은내원수,KR1,TTALON,KR1,50.0
3218,롤은내원수,KR1,금기를 겨눠,KR1,45.45454545454545
3219,소  갓 ,KR1,왕소라초코빵,KR2,40.0
3220,오주왕,KR1,기어오르지마1,KR1,70.0
3221,몰랑몰랑볼,KR1,빠른다램쥐,KR1,48.0
3222,원 딜,KR33,비 첼,KR1,31.57894736842105
3223,참된 젓가락,KR1,현태식이,KR0,58.333333333333336
3224,sung님,KR1,메이플로 오세요,KR1,57.14285714285714
3225,네네치즈볼개노맛,KR1,최 소 룡,KR1,68.18181818181817
3226,두루마리휴지,6974,빛이나는마이WAY,KR1,63.63636363636363
3227,동경C,KR1,녹턴제라스,001,64.70588235294117
3228,대강하자잉,KR1,만재랑롤하기,KR1,75.0
3229,주님의몸,KR1,Ho 도구,KR1,66.66666666666666
3230,악 마,KR112,리롤토체스,KR1,41.17647058823529
3231,악 마,KR112,인어공주,JYP,46.15384615384615
3232,돌격해 도구년아,cs2,덴티티,KR1,40.0
3233,베미맥,KR1,롤로노아 뽕순이,뽕순이,62.06896551724138
3234,ENTP그자체임,KR1,뉴현석,700,52.17391304347826
3235,정현서,씹혜지,손채성,조정훈,63.63636363636363
3236,가나다라마바사아자차카타파하,안녕하세요,탑가는 악어,KR1,42.857142857142854
3237,기옹아비,KR2,기옹아비,KR1,58.333333333333336
3238,임뽕빵,8090,SX티모XS,KR1,54.166666666666664
3239,밀크랙,1557,남친은어디에,KR1,53.333333333333336
3240,polymorphism,sdg,황제 창이,KR1,50.0
3241,브뤄컬리,KR1,한용훈,KR1,53.333333333333336
3242,Stop the Madness,KR1,승미곤듀,KR1,46.666666666666664
3243,치이카와,CR7,이찌리,kr3,40.0
3244,원딜감수성,1004,Zoolbbada,KR1,33.33333333333333
3245,박스타,111,외쳐 갓주일,kr11,64.70588235294117
3246,ysan1009,KR1,너희유미는어딨니,KR1,27.27272727272727
3247,명예브렌트1호기,KR2,persistent,KR1,50.0
3248,파랑파랑l,KR1,반갑습니다람쥐,2식이,69.23076923076923
3249,Farming,9999,전구핑,1104,55.55555555555556
3250,검고13,KR1,글덩이,KR1,50.0
3251,검고13,KR1,탱덩이,KR1,41.66666666666667
3252,이팀맘에드네,KR1,이팀맘에안드네,KR1,55.00000000000001
3253,이팀맘에드네,KR1,자기야왜그렙,일루왕,60.0
3254,로로로롤,6180,파리관절,KR1,40.74074074074074
3255,몰담황제,KR1,소도둑,KR1,50.0
3256,안정환,남자 4호,유 나,장카설유,57.14285714285714
3257,원딜차이,AD챔프,망나뇽,망나니에용,64.28571428571429
3258,Value,0126,Zezeee,KR1,46.666666666666664
3259,역대급 물거품,KR1,최     강,kang,52.94117647058824
3260,퐁퐁잉,KR1,뭘뽀노,nini2,65.51724137931035
3261,Chrome AD,KR1,3000k,KR1,58.82352941176471
3262,응응아잇,PR1,크산태,kst,44.0
3263,다이아달리기프로젝트,D 45,머리큰난쟁이,KR1,35.714285714285715
3264,아까부터던졌음,KR1,30대원딜러,5738,65.0
3265,여퐁듀,오공기여어,소년하다훌륭,KR1,20.0
3266,부먹펩시파인애플피자지코,KR123,한계돌파,8227,60.0
3267,수박씨우엑,KR1,odd future,111,70.0
3268,AngelPain,KR1,하나팀 미드,NO7,50.0
3269,IST타,KR1,재코파이,8717,50.0
3270,앙 크,KR0,fjldjklcj,KR1,81.81818181818183
3271,앙 크,KR0,바나나팜,KR0,60.0
3272,데프트될뻔,KR1,T1 Oner,world,56.666666666666664
3273,Creative self,KOR,잠자는공주민또,KR1,40.0
3274,김천 김무호,김무호,야메롱,КRI,84.61538461538461
3275,김천 김무호,김무호,곽도창,KR7,58.333333333333336
3276,BMW,MGmbH,Thank for you,KR1,56.25
3277,폭신한 최승완,KR1,남 혁,KOR,66.66666666666666
3278,정발산기슭곰발냄새타령부인사잘해,하이브리,레오크,KR1,66.66666666666666
3279,둘리는못말려,크랙의신,스테레오포니,5481,38.46153846153847
3280,DEGUL,KR1,프로틴먹는날,KR2,53.84615384615385
3281,DEGUL,KR1,춘천닭갈비,KR11,70.0
3282,지 펠,KR1,땅끝해기타분대장,KR1,45.45454545454545
3283,다롱디링,KR1,문서분서소,KR1,31.57894736842105
3284,않돼는건않되,KR1,장보벌,KR1,69.23076923076923
3285,파도링,KR1, 프로틴 두스푼,KR1,56.666666666666664
3286,너여야만되겠더라,KR1,어느화창한 봄날엔,1124,47.05882352941176
3287,해군가지마세요,691,상큼한 파인애플,KR1,62.5
